"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 27 16:05:40 UTC 2025","Fri Jun 27 16:05:41 UTC 2025","1701","","","","","","WS-TC3 - Validate data field types",""
"broken","Fri Jun 27 16:05:41 UTC 2025","Fri Jun 27 16:05:41 UTC 2025","1","","","","","","WS-TC4 - Validate error handling",""
"passed","Fri Jun 27 16:05:49 UTC 2025","Fri Jun 27 16:05:51 UTC 2025","1714","","","","","","WS-TC7 - Validate bid/ask price and quantity types",""
"passed","Fri Jun 27 16:05:35 UTC 2025","Fri Jun 27 16:05:35 UTC 2025","277","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 16:05:33 UTC 2025","Fri Jun 27 16:05:33 UTC 2025","406","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 16:05:48 UTC 2025","Fri Jun 27 16:05:49 UTC 2025","1718","","","","","","WS-TC6 - Validate bid/ask data not empty",""
"passed","Fri Jun 27 16:05:53 UTC 2025","Fri Jun 27 16:05:54 UTC 2025","1202","","","","","","WS-TC9 - Validate no duplicate subscription IDs",""
"passed","Fri Jun 27 16:05:36 UTC 2025","Fri Jun 27 16:05:38 UTC 2025","1711","","","","","","WS-TC1 - Validate subscription success",""
"passed","Fri Jun 27 16:05:51 UTC 2025","Fri Jun 27 16:05:53 UTC 2025","1703","","","","","","WS-TC8 - Validate timestamp order",""
"passed","Fri Jun 27 16:05:36 UTC 2025","Fri Jun 27 16:05:36 UTC 2025","251","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 16:05:35 UTC 2025","Fri Jun 27 16:05:35 UTC 2025","292","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 16:05:34 UTC 2025","Fri Jun 27 16:05:34 UTC 2025","475","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 16:05:34 UTC 2025","Fri Jun 27 16:05:35 UTC 2025","344","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 16:05:38 UTC 2025","Fri Jun 27 16:05:40 UTC 2025","1721","","","","","","WS-TC2 - Validate orderbook data presence",""
"failed","Fri Jun 27 16:05:41 UTC 2025","Fri Jun 27 16:05:48 UTC 2025","6292","","","","","","WS-TC5 - Validate orderbook depth limit",""
"passed","Fri Jun 27 16:05:35 UTC 2025","Fri Jun 27 16:05:36 UTC 2025","271","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 16:05:33 UTC 2025","Fri Jun 27 16:05:34 UTC 2025","385","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 16:05:36 UTC 2025","Fri Jun 27 16:05:36 UTC 2025","312","","","","","","TC9 - No parameters provided",""
