"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 12:11:59 UTC 2025","Fri Jun 27 12:11:59 UTC 2025","264","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 12:12:03 UTC 2025","Fri Jun 27 12:12:04 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 12:11:59 UTC 2025","Fri Jun 27 12:12:00 UTC 2025","224","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 12:12:04 UTC 2025","Fri Jun 27 12:12:05 UTC 2025","503","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 12:11:58 UTC 2025","Fri Jun 27 12:11:58 UTC 2025","269","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 12:12:03 UTC 2025","Fri Jun 27 12:12:03 UTC 2025","503","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 12:12:04 UTC 2025","Fri Jun 27 12:12:04 UTC 2025","504","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 12:11:57 UTC 2025","Fri Jun 27 12:11:58 UTC 2025","417","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 12:12:00 UTC 2025","Fri Jun 27 12:12:01 UTC 2025","1505","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 12:12:05 UTC 2025","Fri Jun 27 12:12:05 UTC 2025","504","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 12:12:02 UTC 2025","Fri Jun 27 12:12:02 UTC 2025","503","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 12:11:59 UTC 2025","Fri Jun 27 12:11:59 UTC 2025","244","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 12:12:01 UTC 2025","Fri Jun 27 12:12:02 UTC 2025","503","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 12:12:02 UTC 2025","Fri Jun 27 12:12:03 UTC 2025","503","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 12:11:58 UTC 2025","Fri Jun 27 12:11:58 UTC 2025","232","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 12:11:58 UTC 2025","Fri Jun 27 12:11:58 UTC 2025","265","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 12:11:58 UTC 2025","Fri Jun 27 12:11:59 UTC 2025","321","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 12:11:59 UTC 2025","Fri Jun 27 12:11:59 UTC 2025","249","","","","","","TC6 - Specific time range query",""
