"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 08:07:12 UTC 2025","Fri Jun 27 08:07:12 UTC 2025","206","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 08:07:15 UTC 2025","Fri Jun 27 08:07:16 UTC 2025","502","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 08:07:12 UTC 2025","Fri Jun 27 08:07:12 UTC 2025","166","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 08:07:13 UTC 2025","Fri Jun 27 08:07:14 UTC 2025","1503","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 08:07:11 UTC 2025","Fri Jun 27 08:07:11 UTC 2025","251","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 08:07:17 UTC 2025","Fri Jun 27 08:07:18 UTC 2025","502","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 08:07:12 UTC 2025","Fri Jun 27 08:07:13 UTC 2025","210","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 08:07:12 UTC 2025","Fri Jun 27 08:07:12 UTC 2025","216","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 08:07:12 UTC 2025","Fri Jun 27 08:07:12 UTC 2025","190","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 08:07:13 UTC 2025","Fri Jun 27 08:07:13 UTC 2025","208","","","","","","TC9 - No parameters provided",""
"failed","Fri Jun 27 08:07:17 UTC 2025","Fri Jun 27 08:07:17 UTC 2025","503","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 08:07:14 UTC 2025","Fri Jun 27 08:07:15 UTC 2025","502","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 08:07:16 UTC 2025","Fri Jun 27 08:07:16 UTC 2025","502","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 08:07:12 UTC 2025","Fri Jun 27 08:07:12 UTC 2025","168","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 08:07:18 UTC 2025","Fri Jun 27 08:07:18 UTC 2025","502","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 08:07:16 UTC 2025","Fri Jun 27 08:07:17 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 08:07:15 UTC 2025","Fri Jun 27 08:07:15 UTC 2025","503","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 08:07:11 UTC 2025","Fri Jun 27 08:07:12 UTC 2025","225","","","","","","TC2 - Test various timeframe formats",""
