"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 13:11:48 UTC 2025","Fri Jun 27 13:11:48 UTC 2025","504","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 13:11:41 UTC 2025","Fri Jun 27 13:11:41 UTC 2025","224","","","","","","TC3 - Validate candlestick fields and structure",""
"failed","Fri Jun 27 13:11:42 UTC 2025","Fri Jun 27 13:11:42 UTC 2025","206","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 13:11:42 UTC 2025","Fri Jun 27 13:11:42 UTC 2025","220","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 13:11:40 UTC 2025","Fri Jun 27 13:11:40 UTC 2025","246","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 13:11:40 UTC 2025","Fri Jun 27 13:11:41 UTC 2025","212","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 13:11:41 UTC 2025","Fri Jun 27 13:11:42 UTC 2025","998","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 13:11:46 UTC 2025","Fri Jun 27 13:11:46 UTC 2025","502","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 13:11:43 UTC 2025","Fri Jun 27 13:11:45 UTC 2025","1505","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 13:11:46 UTC 2025","Fri Jun 27 13:11:47 UTC 2025","503","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 13:11:47 UTC 2025","Fri Jun 27 13:11:48 UTC 2025","505","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 13:11:49 UTC 2025","Fri Jun 27 13:11:49 UTC 2025","504","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 13:11:48 UTC 2025","Fri Jun 27 13:11:49 UTC 2025","504","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 13:11:42 UTC 2025","Fri Jun 27 13:11:42 UTC 2025","210","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 13:11:45 UTC 2025","Fri Jun 27 13:11:45 UTC 2025","503","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 13:11:42 UTC 2025","Fri Jun 27 13:11:43 UTC 2025","886","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 13:11:45 UTC 2025","Fri Jun 27 13:11:46 UTC 2025","503","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 13:11:43 UTC 2025","Fri Jun 27 13:11:43 UTC 2025","195","","","","","","TC9 - No parameters provided",""
