"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 05:15:23 UTC 2025","Sun Jun 29 05:15:23 UTC 2025","267","","","","","","TC4 - Maximum data limit test",""
"passed","Sun Jun 29 05:15:33 UTC 2025","Sun Jun 29 05:15:35 UTC 2025","1689","","","","","","WS-TC7 - Validate bid/ask price and quantity types",""
"passed","Sun Jun 29 05:15:30 UTC 2025","Sun Jun 29 05:15:31 UTC 2025","1680","","","","","","WS-TC5 - Validate orderbook depth limit",""
"passed","Sun Jun 29 05:15:25 UTC 2025","Sun Jun 29 05:15:27 UTC 2025","1715","","","","","","WS-TC2 - Validate orderbook data presence",""
"passed","Sun Jun 29 05:15:23 UTC 2025","Sun Jun 29 05:15:23 UTC 2025","254","","","","","","TC5 - Missing required parameter",""
"passed","Sun Jun 29 05:15:29 UTC 2025","Sun Jun 29 05:15:30 UTC 2025","1185","","","","","","WS-TC4 - Validate error handling",""
"passed","Sun Jun 29 05:15:24 UTC 2025","Sun Jun 29 05:15:24 UTC 2025","207","","","","","","TC8 - Invalid timeframe format",""
"passed","Sun Jun 29 05:15:24 UTC 2025","Sun Jun 29 05:15:24 UTC 2025","229","","","","","","TC9 - No parameters provided",""
"passed","Sun Jun 29 05:15:31 UTC 2025","Sun Jun 29 05:15:33 UTC 2025","1683","","","","","","WS-TC6 - Validate bid/ask data not empty",""
"passed","Sun Jun 29 05:15:22 UTC 2025","Sun Jun 29 05:15:22 UTC 2025","218","","","","","","TC2 - Test various timeframe formats",""
"passed","Sun Jun 29 05:15:22 UTC 2025","Sun Jun 29 05:15:22 UTC 2025","229","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Sun Jun 29 05:15:22 UTC 2025","Sun Jun 29 05:15:23 UTC 2025","250","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Sun Jun 29 05:15:27 UTC 2025","Sun Jun 29 05:15:29 UTC 2025","1689","","","","","","WS-TC3 - Validate data field types",""
"passed","Sun Jun 29 05:15:36 UTC 2025","Sun Jun 29 05:15:37 UTC 2025","1188","","","","","","WS-TC9 - Validate no duplicate subscription IDs",""
"passed","Sun Jun 29 05:15:24 UTC 2025","Sun Jun 29 05:15:25 UTC 2025","1180","","","","","","WS-TC1 - Validate subscription success",""
"passed","Sun Jun 29 05:15:35 UTC 2025","Sun Jun 29 05:15:36 UTC 2025","1169","","","","","","WS-TC8 - Validate timestamp order",""
"passed","Sun Jun 29 05:15:23 UTC 2025","Sun Jun 29 05:15:23 UTC 2025","275","","","","","","TC6 - Specific time range query",""
"passed","Sun Jun 29 05:15:23 UTC 2025","Sun Jun 29 05:15:24 UTC 2025","201","","","","","","TC7 - Invalid instrument name",""
