"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 12:54:28 UTC 2025","Fri Jun 27 12:54:28 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 12:54:22 UTC 2025","Fri Jun 27 12:54:23 UTC 2025","810","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 12:54:28 UTC 2025","Fri Jun 27 12:54:29 UTC 2025","503","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 12:54:27 UTC 2025","Fri Jun 27 12:54:28 UTC 2025","504","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 12:54:24 UTC 2025","Fri Jun 27 12:54:26 UTC 2025","1504","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 12:54:24 UTC 2025","Fri Jun 27 12:54:24 UTC 2025","255","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 12:54:24 UTC 2025","Fri Jun 27 12:54:24 UTC 2025","237","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 12:54:19 UTC 2025","Fri Jun 27 12:54:21 UTC 2025","1039","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 12:54:24 UTC 2025","Fri Jun 27 12:54:24 UTC 2025","216","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 12:54:22 UTC 2025","Fri Jun 27 12:54:22 UTC 2025","204","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 12:54:27 UTC 2025","Fri Jun 27 12:54:27 UTC 2025","503","","","","","","WS-TC4 - Subscribe with maximum depth",""
"broken","Fri Jun 27 12:54:23 UTC 2025","Fri Jun 27 12:54:24 UTC 2025","1001","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 12:54:26 UTC 2025","Fri Jun 27 12:54:27 UTC 2025","503","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 12:54:21 UTC 2025","Fri Jun 27 12:54:21 UTC 2025","778","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 12:54:29 UTC 2025","Fri Jun 27 12:54:30 UTC 2025","504","","","","","","WS-TC9 - No updates received after timeout",""
"failed","Fri Jun 27 12:54:21 UTC 2025","Fri Jun 27 12:54:22 UTC 2025","274","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 12:54:26 UTC 2025","Fri Jun 27 12:54:26 UTC 2025","502","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 12:54:29 UTC 2025","Fri Jun 27 12:54:29 UTC 2025","503","","","","","","WS-TC8 - Subscribe with invalid depth value",""
