"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 05:37:14 UTC 2025","Sun Jun 29 05:37:16 UTC 2025","1674","","","","","","WS-TC3 - Validate data field types",""
"passed","Sun Jun 29 05:37:11 UTC 2025","Sun Jun 29 05:37:13 UTC 2025","1685","","","","","","WS-TC1 - Validate subscription success",""
"passed","Sun Jun 29 05:37:11 UTC 2025","Sun Jun 29 05:37:11 UTC 2025","229","","","","","","TC9 - No parameters provided",""
"passed","Sun Jun 29 05:37:09 UTC 2025","Sun Jun 29 05:37:10 UTC 2025","231","","","","","","TC4 - Maximum data limit test",""
"passed","Sun Jun 29 05:37:21 UTC 2025","Sun Jun 29 05:37:22 UTC 2025","1676","","","","","","WS-TC7 - Validate bid/ask price and quantity types",""
"passed","Sun Jun 29 05:37:22 UTC 2025","Sun Jun 29 05:37:23 UTC 2025","1180","","","","","","WS-TC8 - Validate timestamp order",""
"passed","Sun Jun 29 05:37:10 UTC 2025","Sun Jun 29 05:37:10 UTC 2025","300","","","","","","TC6 - Specific time range query",""
"passed","Sun Jun 29 05:37:10 UTC 2025","Sun Jun 29 05:37:10 UTC 2025","250","","","","","","TC5 - Missing required parameter",""
"passed","Sun Jun 29 05:37:13 UTC 2025","Sun Jun 29 05:37:14 UTC 2025","1676","","","","","","WS-TC2 - Validate orderbook data presence",""
"passed","Sun Jun 29 05:37:16 UTC 2025","Sun Jun 29 05:37:17 UTC 2025","1178","","","","","","WS-TC4 - Validate error handling",""
"passed","Sun Jun 29 05:37:09 UTC 2025","Sun Jun 29 05:37:09 UTC 2025","264","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Sun Jun 29 05:37:10 UTC 2025","Sun Jun 29 05:37:11 UTC 2025","323","","","","","","TC7 - Invalid instrument name",""
"passed","Sun Jun 29 05:37:17 UTC 2025","Sun Jun 29 05:37:19 UTC 2025","1699","","","","","","WS-TC5 - Validate orderbook depth limit",""
"passed","Sun Jun 29 05:37:19 UTC 2025","Sun Jun 29 05:37:21 UTC 2025","1673","","","","","","WS-TC6 - Validate bid/ask data not empty",""
"passed","Sun Jun 29 05:37:11 UTC 2025","Sun Jun 29 05:37:11 UTC 2025","248","","","","","","TC8 - Invalid timeframe format",""
"passed","Sun Jun 29 05:37:08 UTC 2025","Sun Jun 29 05:37:09 UTC 2025","364","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Sun Jun 29 05:37:09 UTC 2025","Sun Jun 29 05:37:09 UTC 2025","493","","","","","","TC2 - Test various timeframe formats",""
"passed","Sun Jun 29 05:37:23 UTC 2025","Sun Jun 29 05:37:25 UTC 2025","1181","","","","","","WS-TC9 - Validate no duplicate subscription IDs",""
