"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 16:17:33 UTC 2025","Fri Jun 27 16:17:34 UTC 2025","1719","","","","","","WS-TC1 - Validate subscription success",""
"passed","Fri Jun 27 16:17:32 UTC 2025","Fri Jun 27 16:17:33 UTC 2025","1042","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 16:17:29 UTC 2025","Fri Jun 27 16:17:29 UTC 2025","297","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 16:17:51 UTC 2025","Fri Jun 27 16:17:53 UTC 2025","1706","","","","","","WS-TC6 - Validate bid/ask data not empty",""
"passed","Fri Jun 27 16:17:30 UTC 2025","Fri Jun 27 16:17:31 UTC 2025","1071","","","","","","TC5 - Missing required parameter",""
"failed","Fri Jun 27 16:17:40 UTC 2025","Fri Jun 27 16:17:51 UTC 2025","11216","","","","","","WS-TC5 - Validate orderbook depth limit",""
"passed","Fri Jun 27 16:17:29 UTC 2025","Fri Jun 27 16:17:29 UTC 2025","316","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 16:17:29 UTC 2025","Fri Jun 27 16:17:30 UTC 2025","320","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 16:17:55 UTC 2025","Fri Jun 27 16:17:56 UTC 2025","1714","","","","","","WS-TC8 - Validate timestamp order",""
"passed","Fri Jun 27 16:17:38 UTC 2025","Fri Jun 27 16:17:40 UTC 2025","1699","","","","","","WS-TC4 - Validate error handling",""
"passed","Fri Jun 27 16:17:31 UTC 2025","Fri Jun 27 16:17:31 UTC 2025","283","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 16:17:29 UTC 2025","Fri Jun 27 16:17:29 UTC 2025","227","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 16:17:36 UTC 2025","Fri Jun 27 16:17:38 UTC 2025","2196","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 16:17:56 UTC 2025","Fri Jun 27 16:17:58 UTC 2025","1696","","","","","","WS-TC9 - Validate no duplicate subscription IDs",""
"passed","Fri Jun 27 16:17:53 UTC 2025","Fri Jun 27 16:17:55 UTC 2025","1717","","","","","","WS-TC7 - Validate bid/ask price and quantity types",""
"passed","Fri Jun 27 16:17:31 UTC 2025","Fri Jun 27 16:17:31 UTC 2025","255","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 16:17:34 UTC 2025","Fri Jun 27 16:17:36 UTC 2025","1699","","","","","","WS-TC2 - Validate orderbook data presence",""
"passed","Fri Jun 27 16:17:31 UTC 2025","Fri Jun 27 16:17:32 UTC 2025","302","","","","","","TC8 - Invalid timeframe format",""
