"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 27 06:52:33 UTC 2025","Fri Jun 27 06:52:48 UTC 2025","15020","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 06:54:23 UTC 2025","Fri Jun 27 06:54:39 UTC 2025","15020","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 06:52:17 UTC 2025","Fri Jun 27 06:52:18 UTC 2025","176","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 06:52:18 UTC 2025","Fri Jun 27 06:52:18 UTC 2025","216","","","","","","TC8 - Invalid timeframe format",""
"failed","Fri Jun 27 06:54:08 UTC 2025","Fri Jun 27 06:54:23 UTC 2025","15020","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 06:52:16 UTC 2025","Fri Jun 27 06:52:17 UTC 2025","247","","","","","","TC1 - Valid request returns candlestick data",""
"failed","Fri Jun 27 06:52:18 UTC 2025","Fri Jun 27 06:52:33 UTC 2025","15019","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 06:52:17 UTC 2025","Fri Jun 27 06:52:17 UTC 2025","177","","","","","","TC4 - Maximum data limit test",""
"failed","Fri Jun 27 06:53:23 UTC 2025","Fri Jun 27 06:53:38 UTC 2025","15019","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 06:52:17 UTC 2025","Fri Jun 27 06:52:17 UTC 2025","202","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 06:52:17 UTC 2025","Fri Jun 27 06:52:17 UTC 2025","180","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 06:52:18 UTC 2025","Fri Jun 27 06:52:18 UTC 2025","216","","","","","","TC9 - No parameters provided",""
"failed","Fri Jun 27 06:53:03 UTC 2025","Fri Jun 27 06:53:23 UTC 2025","20025","","","","","","WS-TC4 - Subscribe with maximum depth",""
"failed","Fri Jun 27 06:52:48 UTC 2025","Fri Jun 27 06:53:03 UTC 2025","15019","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 06:53:38 UTC 2025","Fri Jun 27 06:53:53 UTC 2025","15020","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 06:52:18 UTC 2025","Fri Jun 27 06:52:18 UTC 2025","276","","","","","","TC7 - Invalid instrument name",""
"failed","Fri Jun 27 06:53:53 UTC 2025","Fri Jun 27 06:54:08 UTC 2025","15020","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 06:52:17 UTC 2025","Fri Jun 27 06:52:17 UTC 2025","244","","","","","","TC2 - Test various timeframe formats",""
