"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","WebSocket API: book.{instrument_name}.{depth}","","7","0","2","0","0"
"","REST API: public/get-candlestick","","0","0","9","0","0"
