"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 13:53:47 UTC 2025","Fri Jun 27 13:53:48 UTC 2025","283","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 13:53:50 UTC 2025","Fri Jun 27 13:53:51 UTC 2025","274","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 13:53:47 UTC 2025","Fri Jun 27 13:53:47 UTC 2025","332","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 13:53:52 UTC 2025","Fri Jun 27 13:53:53 UTC 2025","503","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 13:53:51 UTC 2025","Fri Jun 27 13:53:52 UTC 2025","1504","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 13:53:49 UTC 2025","Fri Jun 27 13:53:50 UTC 2025","1070","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 13:53:53 UTC 2025","Fri Jun 27 13:53:54 UTC 2025","1003","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 13:53:56 UTC 2025","Fri Jun 27 13:53:57 UTC 2025","503","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 13:53:55 UTC 2025","Fri Jun 27 13:53:56 UTC 2025","503","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 13:53:48 UTC 2025","Fri Jun 27 13:53:48 UTC 2025","307","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 13:53:55 UTC 2025","Fri Jun 27 13:53:55 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 13:53:56 UTC 2025","Fri Jun 27 13:53:56 UTC 2025","503","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 13:53:48 UTC 2025","Fri Jun 27 13:53:48 UTC 2025","279","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 13:53:48 UTC 2025","Fri Jun 27 13:53:49 UTC 2025","815","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 13:53:54 UTC 2025","Fri Jun 27 13:53:54 UTC 2025","503","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 13:53:54 UTC 2025","Fri Jun 27 13:53:55 UTC 2025","503","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 13:53:49 UTC 2025","Fri Jun 27 13:53:49 UTC 2025","271","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 13:53:51 UTC 2025","Fri Jun 27 13:53:51 UTC 2025","288","","","","","","TC9 - No parameters provided",""
