"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 10:10:09 UTC 2025","Fri Jun 27 10:10:09 UTC 2025","502","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 10:10:05 UTC 2025","Fri Jun 27 10:10:06 UTC 2025","235","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 10:10:10 UTC 2025","Fri Jun 27 10:10:10 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 10:10:06 UTC 2025","Fri Jun 27 10:10:06 UTC 2025","278","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 10:10:04 UTC 2025","Fri Jun 27 10:10:04 UTC 2025","231","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 10:10:08 UTC 2025","Fri Jun 27 10:10:08 UTC 2025","503","","","","","","WS-TC2 - Verify subscription confirmation message",""
"failed","Fri Jun 27 10:10:10 UTC 2025","Fri Jun 27 10:10:11 UTC 2025","504","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 10:10:05 UTC 2025","Fri Jun 27 10:10:05 UTC 2025","202","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 10:10:05 UTC 2025","Fri Jun 27 10:10:05 UTC 2025","230","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 10:10:05 UTC 2025","Fri Jun 27 10:10:05 UTC 2025","247","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 10:10:06 UTC 2025","Fri Jun 27 10:10:06 UTC 2025","221","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 10:10:09 UTC 2025","Fri Jun 27 10:10:10 UTC 2025","503","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 10:10:11 UTC 2025","Fri Jun 27 10:10:11 UTC 2025","504","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 10:10:06 UTC 2025","Fri Jun 27 10:10:08 UTC 2025","1504","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 10:10:11 UTC 2025","Fri Jun 27 10:10:12 UTC 2025","503","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 10:10:03 UTC 2025","Fri Jun 27 10:10:04 UTC 2025","327","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 10:10:08 UTC 2025","Fri Jun 27 10:10:09 UTC 2025","502","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 10:10:04 UTC 2025","Fri Jun 27 10:10:05 UTC 2025","875","","","","","","TC3 - Validate candlestick fields and structure",""
