"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","1","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 13:30:21 UTC 2025","Fri Jun 27 13:30:22 UTC 2025","503","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:21 UTC 2025","1505","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 13:30:23 UTC 2025","Fri Jun 27 13:30:24 UTC 2025","504","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 13:30:23 UTC 2025","Fri Jun 27 13:30:23 UTC 2025","504","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"broken","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","1","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 13:30:22 UTC 2025","Fri Jun 27 13:30:23 UTC 2025","504","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","260","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 13:30:25 UTC 2025","Fri Jun 27 13:30:26 UTC 2025","504","","","","","","WS-TC9 - No updates received after timeout",""
"broken","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","1","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 13:30:19 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","298","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","212","","","","","","TC9 - No parameters provided",""
"broken","Fri Jun 27 13:30:19 UTC 2025","Fri Jun 27 13:30:19 UTC 2025","2","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 13:30:25 UTC 2025","Fri Jun 27 13:30:25 UTC 2025","504","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 13:30:22 UTC 2025","Fri Jun 27 13:30:22 UTC 2025","502","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 13:30:24 UTC 2025","Fri Jun 27 13:30:25 UTC 2025","504","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"broken","Fri Jun 27 13:30:19 UTC 2025","Fri Jun 27 13:30:19 UTC 2025","1","","","","","","TC2 - Test various timeframe formats",""
"broken","Fri Jun 27 13:30:20 UTC 2025","Fri Jun 27 13:30:20 UTC 2025","1","","","","","","TC7 - Invalid instrument name",""
