"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","REST API: public/get-candlestick","","0","6","3","0","0"
"","WebSocket API: book.{instrument_name}.{depth}","","0","0","9","0","0"
