"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 10:28:11 UTC 2025","Fri Jun 27 10:28:12 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 10:28:03 UTC 2025","Fri Jun 27 10:28:04 UTC 2025","286","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 10:28:10 UTC 2025","Fri Jun 27 10:28:10 UTC 2025","502","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 10:28:05 UTC 2025","Fri Jun 27 10:28:05 UTC 2025","242","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 10:28:07 UTC 2025","Fri Jun 27 10:28:09 UTC 2025","2005","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 10:28:03 UTC 2025","Fri Jun 27 10:28:03 UTC 2025","267","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 10:28:05 UTC 2025","Fri Jun 27 10:28:06 UTC 2025","1079","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 10:28:12 UTC 2025","Fri Jun 27 10:28:12 UTC 2025","503","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 10:28:04 UTC 2025","Fri Jun 27 10:28:05 UTC 2025","1071","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 10:28:13 UTC 2025","Fri Jun 27 10:28:13 UTC 2025","504","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 10:28:10 UTC 2025","Fri Jun 27 10:28:11 UTC 2025","503","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 10:28:11 UTC 2025","Fri Jun 27 10:28:11 UTC 2025","504","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 10:28:09 UTC 2025","Fri Jun 27 10:28:10 UTC 2025","502","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 10:28:12 UTC 2025","Fri Jun 27 10:28:13 UTC 2025","503","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 10:28:03 UTC 2025","Fri Jun 27 10:28:03 UTC 2025","242","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 10:28:06 UTC 2025","Fri Jun 27 10:28:07 UTC 2025","1032","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 10:28:06 UTC 2025","Fri Jun 27 10:28:06 UTC 2025","244","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 10:28:03 UTC 2025","Fri Jun 27 10:28:03 UTC 2025","322","","","","","","TC1 - Valid request returns candlestick data",""
