"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","1","","","","","","WS-TC9 - Validate no duplicate subscription IDs",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","0","","","","","","WS-TC3 - Validate data field types",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","1","","","","","","WS-TC7 - Validate bid/ask price and quantity types",""
"passed","Fri Jun 27 16:10:05 UTC 2025","Fri Jun 27 16:10:06 UTC 2025","787","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 16:10:04 UTC 2025","Fri Jun 27 16:10:04 UTC 2025","248","","","","","","TC2 - Test various timeframe formats",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","1","","","","","","WS-TC6 - Validate bid/ask data not empty",""
"passed","Fri Jun 27 16:10:03 UTC 2025","Fri Jun 27 16:10:04 UTC 2025","906","","","","","","TC1 - Valid request returns candlestick data",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","0","","","","","","WS-TC5 - Validate orderbook depth limit",""
"passed","Fri Jun 27 16:10:06 UTC 2025","Fri Jun 27 16:10:06 UTC 2025","256","","","","","","TC8 - Invalid timeframe format",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","1","","","","","","WS-TC2 - Validate orderbook data presence",""
"passed","Fri Jun 27 16:10:04 UTC 2025","Fri Jun 27 16:10:05 UTC 2025","226","","","","","","TC4 - Maximum data limit test",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","0","","","","","","WS-TC4 - Validate error handling",""
"passed","Fri Jun 27 16:10:04 UTC 2025","Fri Jun 27 16:10:04 UTC 2025","249","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 16:10:06 UTC 2025","Fri Jun 27 16:10:06 UTC 2025","282","","","","","","TC7 - Invalid instrument name",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","1","","","","","","WS-TC8 - Validate timestamp order",""
"passed","Fri Jun 27 16:10:05 UTC 2025","Fri Jun 27 16:10:05 UTC 2025","386","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 16:10:06 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","281","","","","","","TC9 - No parameters provided",""
"broken","Fri Jun 27 16:10:07 UTC 2025","Fri Jun 27 16:10:07 UTC 2025","1","","","","","","WS-TC1 - Validate subscription success",""
