"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 16:36:54 UTC 2025","Fri Jun 27 16:36:56 UTC 2025","1684","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 16:36:50 UTC 2025","Fri Jun 27 16:36:50 UTC 2025","283","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 16:37:03 UTC 2025","Fri Jun 27 16:37:05 UTC 2025","1179","","","","","","WS-TC9 - Validate no duplicate subscription IDs",""
"passed","Fri Jun 27 16:36:59 UTC 2025","Fri Jun 27 16:37:01 UTC 2025","1678","","","","","","WS-TC6 - Validate bid/ask data not empty",""
"passed","Fri Jun 27 16:36:51 UTC 2025","Fri Jun 27 16:36:51 UTC 2025","228","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 16:36:49 UTC 2025","Fri Jun 27 16:36:49 UTC 2025","334","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 16:36:49 UTC 2025","Fri Jun 27 16:36:50 UTC 2025","252","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 16:36:50 UTC 2025","Fri Jun 27 16:36:51 UTC 2025","260","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 16:36:48 UTC 2025","Fri Jun 27 16:36:49 UTC 2025","944","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 16:36:51 UTC 2025","Fri Jun 27 16:36:53 UTC 2025","1688","","","","","","WS-TC1 - Validate subscription success",""
"passed","Fri Jun 27 16:37:01 UTC 2025","Fri Jun 27 16:37:02 UTC 2025","1690","","","","","","WS-TC7 - Validate bid/ask price and quantity types",""
"passed","Fri Jun 27 16:36:49 UTC 2025","Fri Jun 27 16:36:49 UTC 2025","257","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 16:36:53 UTC 2025","Fri Jun 27 16:36:54 UTC 2025","1674","","","","","","WS-TC2 - Validate orderbook data presence",""
"passed","Fri Jun 27 16:36:50 UTC 2025","Fri Jun 27 16:36:50 UTC 2025","275","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 16:37:02 UTC 2025","Fri Jun 27 16:37:03 UTC 2025","1179","","","","","","WS-TC8 - Validate timestamp order",""
"passed","Fri Jun 27 16:36:57 UTC 2025","Fri Jun 27 16:36:59 UTC 2025","1670","","","","","","WS-TC5 - Validate orderbook depth limit",""
"passed","Fri Jun 27 16:36:56 UTC 2025","Fri Jun 27 16:36:57 UTC 2025","1178","","","","","","WS-TC4 - Validate error handling",""
"passed","Fri Jun 27 16:36:51 UTC 2025","Fri Jun 27 16:36:51 UTC 2025","255","","","","","","TC8 - Invalid timeframe format",""
