"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","REST API: public/get-candlestick","","0","0","9","0","0"
"","WebSocket API: book.{instrument_name}.{depth}","","1","0","8","0","0"
