"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 15:43:59 UTC 2025","Fri Jun 27 15:44:00 UTC 2025","897","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 15:44:00 UTC 2025","Fri Jun 27 15:44:01 UTC 2025","1076","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 15:44:10 UTC 2025","Fri Jun 27 15:44:11 UTC 2025","1177","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 15:44:02 UTC 2025","Fri Jun 27 15:44:02 UTC 2025","337","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 15:44:01 UTC 2025","Fri Jun 27 15:44:02 UTC 2025","283","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 15:44:02 UTC 2025","Fri Jun 27 15:44:03 UTC 2025","266","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 15:44:07 UTC 2025","Fri Jun 27 15:44:09 UTC 2025","1179","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 15:44:02 UTC 2025","Fri Jun 27 15:44:02 UTC 2025","247","","","","","","TC7 - Invalid instrument name",""
"failed","Fri Jun 27 15:44:06 UTC 2025","Fri Jun 27 15:44:07 UTC 2025","1188","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 15:44:12 UTC 2025","Fri Jun 27 15:44:13 UTC 2025","1180","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 15:44:09 UTC 2025","Fri Jun 27 15:44:10 UTC 2025","1168","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 15:44:13 UTC 2025","Fri Jun 27 15:44:14 UTC 2025","1174","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 15:44:04 UTC 2025","Fri Jun 27 15:44:06 UTC 2025","1696","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 15:44:03 UTC 2025","Fri Jun 27 15:44:03 UTC 2025","261","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 15:44:01 UTC 2025","Fri Jun 27 15:44:01 UTC 2025","206","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 15:44:03 UTC 2025","Fri Jun 27 15:44:04 UTC 2025","1680","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 15:44:01 UTC 2025","Fri Jun 27 15:44:01 UTC 2025","242","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 15:44:11 UTC 2025","Fri Jun 27 15:44:12 UTC 2025","1174","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
